Name	Permalink
Château de Chantilly	http://www.geopicardie.fr/mapfishapp/?wmc=ws%2Fwmc%2Fgeodoc2016372851923608742.wmc
Château de Compiègne	http://www.geopicardie.fr/mapfishapp/?wmc=ws%2Fwmc%2Fgeodoc3253185027902185079.wmc
